STATE.x,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBAGE,PBSEX,PBCWALK,PBSWALK,PBSZONE,PEDCTYPE,BIKECTYPE,PEDLOC,BIKELOC,PEDPOS,BIKEPOS,PEDDIR,BIKEDIR,MOTDIR,MOTMAN,PEDLEG,PEDSNR,PEDCGP,BIKECGP,STATE.y,VE_TOTAL,VE_FORMS,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,COUNTY,CITY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,RUR_URB,FUNC_SYS,RD_OWNER,ROUTE,TWAY_ID,TWAY_ID2,MILEPT,LATITUDE,LONGITUD,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,WEATHER2,WEATHER,SCH_BUS,RAIL,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10010,0,1,5,20,1,0,0,0,910,0,3,7,3,7,8,7,8,8,8,8,910,0,1,1,1,0,1,1,1,1,73,0,14,1,2017,7,4,0,1,2,1,1,1,I-59,NA,1450,33.66844167,-86.553425,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,99,4,39,88,88,0,0,0,1,0
1,10040,0,1,5,28,1,0,0,0,741,0,3,7,3,7,8,7,8,8,8,8,740,0,1,1,1,0,1,1,2,2,113,0,20,1,2017,6,20,42,1,2,3,1,2,US-SR8,NA,2098,32.46786389,-85.10677778,0,8,0,0,1,1,0,1,2,10,0,10,0,0,99,99,20,55,88,88,0,0,0,1,0
1,10046,0,1,5,14,1,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0,1,1,1,0,1,1,2,2,71,1633,24,1,2017,3,14,35,0,2,5,1,3,SR-71,NA,290,34.84603611,-85.62599167,0,8,0,0,1,1,0,1,1,1,0,1,0,0,99,99,15,1,88,88,0,0,0,1,0
1,10053,0,1,5,29,1,0,0,0,610,0,3,7,3,7,8,7,8,8,8,8,600,0,1,1,1,0,1,1,2,2,89,1730,17,1,2017,3,17,42,0,2,4,4,6,HOMER NANCE RD,NA,0,34.81576944,-86.49146389,0,8,0,0,1,1,0,1,2,10,0,10,0,0,17,43,17,55,88,88,0,0,0,1,0
1,10065,0,1,8,37,2,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,1,1,1,0,1,1,1,1,97,2100,3,2,2017,6,18,46,0,2,4,4,6,AZALEA RD,NA,0,30.67341667,-88.14851944,0,15,0,0,8,1,0,1,3,1,0,1,0,0,99,99,18,53,88,88,0,0,0,1,1
1,10066,0,1,5,60,1,0,0,0,760,0,3,7,3,7,8,7,8,8,8,8,750,0,1,1,1,0,1,1,1,1,47,2760,5,2,2017,1,20,35,1,2,3,1,3,SR-14,NA,0,32.43126944,-87.01536944,0,8,0,0,1,1,0,1,3,2,0,2,0,0,99,99,20,45,88,88,0,0,0,1,0
1,10078,0,1,5,54,2,0,0,0,410,0,3,7,3,7,8,7,8,8,8,8,400,0,1,1,1,0,1,1,1,1,9,0,12,2,2017,1,18,10,1,1,3,1,2,US-SR 53,NA,2787,34.20741111,-86.49266389,0,8,0,0,1,1,0,1,2,10,0,10,0,0,99,99,18,25,99,99,0,0,0,1,0
1,10079,0,1,5,64,1,0,0,0,230,0,3,7,6,7,8,7,8,8,8,8,100,0,1,3,1,2,3,3,1,1,103,0,14,2,2017,3,5,45,0,1,5,2,4,CR-DANVILLE RD,NA,0,34.47671111,-87.03626667,0,8,0,0,1,1,0,4,2,1,0,1,0,0,99,99,5,50,99,99,19,14,0,2,0
1,10079,0,2,5,31,1,0,0,0,230,0,3,7,6,7,8,7,8,8,8,8,100,0,1,3,1,2,3,3,1,1,103,0,14,2,2017,3,5,45,0,1,5,2,4,CR-DANVILLE RD,NA,0,34.47671111,-87.03626667,0,8,0,0,1,1,0,4,2,1,0,1,0,0,99,99,5,50,99,99,19,14,0,2,0
1,10079,0,3,5,59,2,0,0,0,230,0,3,7,6,7,8,7,8,8,8,8,100,0,1,3,1,2,3,3,1,1,103,0,14,2,2017,3,5,45,0,1,5,2,4,CR-DANVILLE RD,NA,0,34.47671111,-87.03626667,0,8,0,0,1,1,0,4,2,1,0,1,0,0,99,99,5,50,99,99,19,14,0,2,0
1,10087,0,1,5,28,1,0,0,0,459,0,3,7,3,7,8,7,8,8,8,8,400,0,1,1,1,0,1,1,1,1,73,330,4,3,2017,7,1,16,1,2,1,1,1,I-59,NA,1120,33.412625,-86.96748611,0,8,0,0,1,1,0,1,3,1,0,1,0,0,99,99,1,25,88,88,0,0,0,1,0
1,10089,0,1,5,24,2,0,0,0,230,0,3,7,3,7,8,7,8,8,8,8,100,0,1,1,1,0,1,1,1,1,9,0,5,3,2017,1,20,3,1,1,1,1,1,I-65,NA,2898,33.91855556,-86.86622222,0,8,0,0,1,1,0,1,2,1,0,1,0,0,99,99,20,30,88,88,19,0,0,1,0
